REVIEW_TOTALS,REVIEW_SENTIMENT,REVIEW_DATE,DATE_SENTIMENT_ID
8,negative,2021-10-22,b24b0da2d4ea1efd5e1028f373c1bc79
18,neutral,2021-10-22,d117a478412a38f9981b82c08814042b
31,positive,2021-10-22,7238b1f7d03533f7662adf285c294f19
10,negative,2021-10-21,8187d68b24e1eb49d793ab95ab4fcb5f
40,neutral,2021-10-21,9dff0c8bb38f4ca55b53b017f288f429
39,positive,2021-10-21,d60d445be9032dcd1acee9c3ca1572f9
8,negative,2021-10-20,85f855adfc7e6d6a00178097e8379c2f
51,neutral,2021-10-20,f6f7a29cea41dd95cc6a23405552acf5
71,positive,2021-10-20,00e0f85fd49449cb7ee6a770292921e9
8,negative,2021-10-19,0bafecbfd10c2ef43561a6e69044e3bf
45,neutral,2021-10-19,f70ef33d16a89621e5642dc35e41a443
68,positive,2021-10-19,f50ea43e88bf286beeecb4275aca3284
13,negative,2021-10-18,ff3cb5263b826fcb423220ae3707f132
67,neutral,2021-10-18,946b62042c8b99e1c2a0b3a07c0d4d92
116,positive,2021-10-18,18889aa3d5ca2bc5e454aadd671c73dc
40,negative,2021-10-17,fde3134bc04af5eef439aba117d5254e
131,neutral,2021-10-17,f10ca7590b019dc8f4bd554077c4de7b
189,positive,2021-10-17,d341f2b03776abaa326ab46df1d11d86
14,negative,2021-10-16,3f83f4fcdb863dade8ea12f9be9967af
89,neutral,2021-10-16,8cb38949decf195a41c6abf655ffdec2
87,positive,2021-10-16,fe179baf81a8b427b24ecf694f8a40b9
32,negative,2021-10-15,c002bcddfb15f0036a0afa1f0a34cf4a
84,neutral,2021-10-15,fa8cf44f1fedab76f822d700a7c02325
93,positive,2021-10-15,2f9ca1da13568ff2d65b98c3173b0246
23,negative,2021-10-14,fbd6eb13a8313356122c6701e3bd1597
54,neutral,2021-10-14,0ce4bde000fa2cd8038f9024979422b5
92,positive,2021-10-14,db2ac1634d21fadca10074ee842ac3e4
17,negative,2021-10-13,57d933b469b22de4290fe2245a5e6ed0
46,neutral,2021-10-13,f0897bd094c56d10e9ae84bf17b3a73c
75,positive,2021-10-13,263169f69cf565a1dd7b3ebd10feb982
10,negative,2021-10-12,17301679c516a92ad5fd461dc03b994d
48,neutral,2021-10-12,8fa4a775039ad754be2ef79feb8d62a4
84,positive,2021-10-12,c168f3f323fc9061fc992dc4748909e0
26,negative,2021-10-11,b7773de5029f05e3c7eb6650926169c1
87,neutral,2021-10-11,3e7a45ff8ed2fc51cacfb35dc7eb22f9
165,positive,2021-10-11,edce6defe7663d1052cc3cdf231a0f5b
54,negative,2021-10-10,77ec538e13e213ececd8df7296ad2d95
170,neutral,2021-10-10,26107819e1f2ad57b31499a8da59a848
215,positive,2021-10-10,d7d82bac71e3863f7a86abeebd08fbbc
29,negative,2021-10-09,56555a232558f03f5b5bc097c73e054e
72,neutral,2021-10-09,d614d555c57bdf7cf0bf0d7c7d857796
82,positive,2021-10-09,de47bda8bd9a62e977f4bb2331e18b58
32,negative,2021-10-08,334620d6087561f80c8bde3263f9c4a8
83,neutral,2021-10-08,a719a0d391bd0c141fef8ad8c24a6140
137,positive,2021-10-08,4424305db8844732c628b7a33c85bc6b
29,negative,2021-10-07,922c1f7c252a2510477f226162dc27ee
87,neutral,2021-10-07,4bf77bfb46de12a6a86bff00a13fee23
