REVIEW_TOTALS,REVIEW_SENTIMENT,AGGREGATION_DATE,MOM,DATE_SENTIMENT_ID
9,negative,2013-04-20 00:00:00,-25.0,879e28bf43a3f647ebf1e4b6b2dae99b
9,negative,2013-04-21 00:00:00,-25.0,98e16634fdb6687a71cec92252722a4d
10,negative,2013-04-22 00:00:00,-16.67,7b1952d765f4eafc79dcd01685690eb8
11,negative,2013-04-23 00:00:00,-8.33,1ed528a224b9cc9778c00b1041e38a8f
11,negative,2013-04-24 00:00:00,-15.38,54c486af2111e9d3167f81f964c83b35
10,negative,2013-04-25 00:00:00,-23.08,c0b4c3da59a53e9aecb76db842f71b3d
11,negative,2013-04-26 00:00:00,10.0,8bf548996f6cda7cc07d935d5ab33c2e
12,negative,2013-04-27 00:00:00,9.09,4171409acb9a6cc571021b0452c9309a
11,negative,2013-04-28 00:00:00,10.0,445b9e3123bcb4825c570c82bce2c299
13,negative,2013-04-29 00:00:00,30.0,8d5cbea0e3819111b01c97fa062e21be
13,negative,2013-04-30 00:00:00,18.18,d973b92eae1bba2695a4cb10e5582e81
12,negative,2013-05-01 00:00:00,9.09,f189fafab7ac45ac7dc480af6f2b94ca
12,negative,2013-05-02 00:00:00,0.0,5715b05d0048e128e0708108f5fc2b8d
11,negative,2013-05-03 00:00:00,0.0,de8bfa0d1245d6e5475d16ebc28d93ce
11,negative,2013-05-04 00:00:00,0.0,4476a54cb139488e989e5dd33a75a470
11,negative,2013-05-05 00:00:00,0.0,748cfa9c672a57f420c9afa65a0a0d28
12,negative,2013-05-06 00:00:00,20.0,e37410f78a9cda8c5a46f042e024c1bd
13,negative,2013-05-07 00:00:00,44.44,ac56a6b1ea982af0b838de953b10a474
14,negative,2013-05-08 00:00:00,75.0,9945165f0d5397f11949decc4b129820
14,negative,2013-05-09 00:00:00,75.0,0f5e61068bf4801ec95590f64c0f0956
15,negative,2013-05-10 00:00:00,114.29,6a7da598b10eb4f9f0b2b576acbf2ee0
15,negative,2013-05-11 00:00:00,114.29,aad928b650c12ffc378ae2db7527a2d4
15,negative,2013-05-12 00:00:00,66.67,7dcc56b2614c8f23bfbeb9e81ffd121a
15,negative,2013-05-13 00:00:00,66.67,1114ef6f10355d081306fcd06ccb9203
15,negative,2013-05-14 00:00:00,66.67,3ddbf4d8cf3c6e831f1d42add65b8bf7
15,negative,2013-05-15 00:00:00,36.36,df2c60b08ca75491850c020cf02555af
13,negative,2013-05-16 00:00:00,30.0,b451189a05f0724b73c8bfd454f65582
13,negative,2013-05-17 00:00:00,30.0,6c4001e0c8b2c577c638ee124a5cb087
12,negative,2013-05-18 00:00:00,20.0,e183188fce12cc378933bdffd9a8dabe
12,negative,2013-05-19 00:00:00,33.33,2163bb878a3e4a9258406091768e2eab
12,negative,2013-05-20 00:00:00,33.33,8ab0689802d1faa55f7ced1482a5c3f0
12,negative,2013-05-21 00:00:00,20.0,7d80c6601992d291e5549d46584a051c
11,negative,2013-05-22 00:00:00,0.0,28335bb6d0dc3ffde93df6ed9d7cda9d
10,negative,2013-05-23 00:00:00,-9.09,279f3f21dd366501ece2521276b287af
10,negative,2013-05-24 00:00:00,0.0,693129bb4e8ca47ae01d25654f9e15c6
10,negative,2013-05-25 00:00:00,-9.09,0d2f265bc893fe10ccfad14f4c0045bf
9,negative,2013-05-26 00:00:00,-25.0,00c4a7540730518008a51d7390911171
9,negative,2013-05-27 00:00:00,-18.18,9e972ad0233eff66925816f7b0db0387
9,negative,2013-05-28 00:00:00,-30.77,7a734d1b66fe35dc6e0b746c90d492b9
7,negative,2013-05-29 00:00:00,-46.15,69059b428d204683ff5b74fd736961a6
8,negative,2013-05-30 00:00:00,-33.33,0d93b6284a7d0417ad2af8460e5abd93
8,negative,2013-05-31 00:00:00,-33.33,c67e2269d94a8f0fa527c12afd12a7a0
9,negative,2013-06-01 00:00:00,-18.18,904603fa28879b8ae8b175649dccead8
9,negative,2013-06-02 00:00:00,-18.18,049e81ef78fab43e8fe6853317040913
12,negative,2013-06-03 00:00:00,9.09,4c706773105d6bbb84d5bd92ff761b01
12,negative,2013-06-04 00:00:00,0.0,d34ef9c56b229260be1cfc3e773fd9ed
12,negative,2013-06-05 00:00:00,-7.69,076da30272520206fc955c084c52f67f
13,negative,2013-06-06 00:00:00,-7.14,190b9505471846e877a99f9df36eb448
12,negative,2013-06-07 00:00:00,-14.29,5c5003486c909826466b15c27401b6c4
12,negative,2013-06-08 00:00:00,-20.0,382f99088fd4e54f6224af04ad04653b
11,negative,2013-06-09 00:00:00,-26.67,b557ac2d77f316ff570605c1fe425d1d
12,negative,2013-06-10 00:00:00,-20.0,a44434fcfd5667b55178eb1462a0f41d
12,negative,2013-06-11 00:00:00,-20.0,2377e9654cdf2bb8f933ba45bde3543c
12,negative,2013-06-12 00:00:00,-20.0,5a783e3b30510352b53d69fabdf782eb
12,negative,2013-06-13 00:00:00,-20.0,cb0adbe5696a8992c4cfc43cbdaa0a17
13,negative,2013-06-14 00:00:00,0.0,d47773f75544c9ec84764239ac999397
13,negative,2013-06-15 00:00:00,0.0,f2fa52afd3f706e8bdc381e96af01206
13,negative,2013-06-16 00:00:00,8.33,2c919f0aa7b2b38a76fd61a5d43ffe49
15,negative,2013-06-17 00:00:00,25.0,be72cf817b3cbfd63b50ee0e0193dbbe
15,negative,2013-06-18 00:00:00,25.0,25cefad0b4ed9d7bc7395bebaf759322
15,negative,2013-06-19 00:00:00,25.0,bae57425e64420cf1327817bcc8dd38f
15,negative,2013-06-20 00:00:00,36.36,4548391d1fd3440a4be436c2e70e93c9
15,negative,2013-06-21 00:00:00,50.0,ffd3af2b255c3defc86930525d3e26c0
15,negative,2013-06-22 00:00:00,50.0,638b0d7b40c648760ef7fed055603b0d
15,negative,2013-06-23 00:00:00,50.0,76ce078c4c2a58d7cdc5b236746f169f
15,negative,2013-06-24 00:00:00,66.67,49b076620b1c711440547f9c703ed327
17,negative,2013-06-25 00:00:00,88.89,1a45a3fe53429e2dd69334c0348a0b10
16,negative,2013-06-26 00:00:00,77.78,8a5ff7a53c51cae8ec3943d3504512c2
16,negative,2013-06-27 00:00:00,128.57,de9b0f770a4f7334ff671f44ed1b19d7
16,negative,2013-06-28 00:00:00,100.0,18ec9f6e12acd37ffaafdd7d42ffbab3
15,negative,2013-06-29 00:00:00,87.5,d51db6ec4d5d6df79a8234816058cb88
16,negative,2013-06-30 00:00:00,77.78,133909763ae9debc5f829ded0a25e877
