project_id,number_of_open_tasks,number_of_assigned_open_tasks,number_of_tasks_completed,number_of_assigned_tasks_completed,total_days_open,total_days_assigned_last_user,avg_close_time_days,avg_close_time_assigned_days
"""1142815262788834""",0,0,0,0,0,0,,
"""338932209783787""",0,0,0,0,0,0,,
"""339036947888916""",0,0,0,0,0,0,,
"""994480050688368""",0,0,0,0,0,0,,
"""339036947888918""",0,0,0,0,0,0,,
"""1133789517942526""",0,0,0,0,0,0,,
"""1123411555652103""",0,0,0,0,0,0,,
"""339036947888913""",0,0,0,0,0,0,,
"""1119233841877068""",0,0,0,0,0,0,,
"""1103976536247089""",0,0,0,0,0,0,,
"""1127687633259843""",0,0,0,0,0,0,,
"""1138337102495418""",0,0,0,0,0,0,,
"""1135568818569273""",0,0,0,0,0,0,,
"""339014487764325""",0,0,0,0,0,0,,
"""339282757803825""",0,0,0,0,0,0,,
"""339036947888917""",0,0,0,0,0,0,,
