REVIEW_DATE,nps_daily,reviews_daily,nps_28d,reviews_28d
2009-06-20 00:00:00,1.0,1,1.0,1
2009-08-18 00:00:00,1.0,1,1.0,1
2009-11-25 00:00:00,1.0,1,1.0,1
2010-02-18 00:00:00,1.0,1,1.0,1
2010-04-26 00:00:00,1.0,1,1.0,1
2010-05-09 00:00:00,1.0,1,1.0,2
2010-06-04 00:00:00,1.0,1,1.0,2
2010-06-07 00:00:00,1.0,1,1.0,2
2010-06-28 00:00:00,0.0,1,0.6666666666666666,3
2010-06-29 00:00:00,1.0,1,0.75,4
2010-07-11 00:00:00,1.0,1,0.6666666666666666,3
2010-07-17 00:00:00,1.0,1,0.75,4
2010-07-31 00:00:00,1.0,2,1.0,4
2010-08-09 00:00:00,1.0,1,1.0,4
2010-08-10 00:00:00,0.0,1,0.8,5
2010-08-17 00:00:00,0.0,1,0.6,5
2010-08-19 00:00:00,1.0,2,0.7142857142857143,7
2010-08-20 00:00:00,1.0,1,0.75,8
2010-08-23 00:00:00,1.0,1,0.7777777777777778,9
2010-08-24 00:00:00,1.0,1,0.8,10
2010-09-04 00:00:00,0.0,1,0.6666666666666666,9
2010-09-06 00:00:00,1.0,1,0.6666666666666666,9
2010-09-14 00:00:00,1.0,1,0.875,8
2010-09-16 00:00:00,0.5,2,0.75,8
2010-09-18 00:00:00,1.0,1,0.75,8
2010-09-21 00:00:00,1.0,1,0.7142857142857143,7
2010-09-22 00:00:00,1.0,2,0.7777777777777778,9
2010-09-23 00:00:00,0.5,2,0.7272727272727273,11
2010-09-24 00:00:00,1.0,2,0.7692307692307693,13
2010-09-25 00:00:00,1.0,1,0.7857142857142857,14
2010-09-27 00:00:00,1.0,3,0.8235294117647058,17
2010-09-28 00:00:00,1.0,1,0.8333333333333334,18
2010-09-29 00:00:00,1.0,1,0.8421052631578947,19
2010-09-30 00:00:00,1.0,2,0.8571428571428571,21
2010-10-03 00:00:00,1.0,1,0.9047619047619048,21
2010-10-05 00:00:00,1.0,1,0.9047619047619048,21
2010-10-06 00:00:00,1.0,1,0.9090909090909091,22
2010-10-07 00:00:00,1.0,2,0.9166666666666666,24
2010-10-10 00:00:00,1.0,1,0.92,25
2010-10-11 00:00:00,1.0,3,0.9285714285714286,28
2010-10-20 00:00:00,1.0,1,0.9545454545454546,22
2010-10-21 00:00:00,1.0,1,1.0,21
2010-11-01 00:00:00,1.0,2,1.0,12
2010-11-07 00:00:00,1.0,1,1.0,8
2010-11-08 00:00:00,1.0,1,1.0,6
2010-11-12 00:00:00,0.0,1,0.8571428571428571,7
2010-11-20 00:00:00,0.0,1,0.6666666666666666,6
2010-11-23 00:00:00,1.0,2,0.75,8
2010-11-24 00:00:00,1.0,1,0.7777777777777778,9
2010-11-26 00:00:00,1.0,1,0.8,10
2010-11-30 00:00:00,0.5,2,0.7,10
2010-12-07 00:00:00,1.0,1,0.6666666666666666,9
2010-12-14 00:00:00,1.0,1,0.7777777777777778,9
2010-12-21 00:00:00,0.0,1,0.7142857142857143,7
2010-12-23 00:00:00,1.0,3,0.7777777777777778,9
2010-12-29 00:00:00,1.0,2,0.875,8
2010-12-30 00:00:00,1.0,1,0.8888888888888888,9
2010-12-31 00:00:00,1.0,1,0.9,10
2011-01-02 00:00:00,1.0,1,0.9090909090909091,11
2011-01-03 00:00:00,1.0,2,0.9230769230769231,13
2011-01-04 00:00:00,1.0,2,0.9285714285714286,14
2011-01-06 00:00:00,1.0,1,0.9333333333333333,15
2011-01-12 00:00:00,1.0,2,0.9375,16
2011-01-17 00:00:00,1.0,1,0.9411764705882353,17
2011-01-18 00:00:00,0.0,1,0.9411764705882353,17
2011-01-21 00:00:00,1.0,1,0.9333333333333333,15
2011-01-28 00:00:00,1.0,1,0.9166666666666666,12
2011-01-30 00:00:00,0.0,1,0.8333333333333334,12
2011-01-31 00:00:00,1.0,2,0.8333333333333334,12
